Best Validation Accuracy: 0.9883669562656457
Best Validation Loss: 0.04359104583571849
Total Epochs: 220

Epoch, Train Loss, Validation Loss, Train Accuracy, Validation Accuracy
1, 0.613746, 0.311919, 0.840414, 0.915918
2, 0.267303, 0.236481, 0.925600, 0.936681
3, 0.218574, 0.213451, 0.936607, 0.936534
4, 0.193905, 0.196404, 0.941503, 0.936239
5, 0.179867, 0.188099, 0.944669, 0.941540
6, 0.171684, 0.185735, 0.948093, 0.939920
7, 0.161960, 0.174236, 0.948756, 0.943307
8, 0.152947, 0.172684, 0.952143, 0.946252
9, 0.148750, 0.169092, 0.952511, 0.945663
10, 0.143461, 0.167254, 0.953578, 0.944780
11, 0.142953, 0.164286, 0.953284, 0.945811
12, 0.138874, 0.164752, 0.955051, 0.943602
13, 0.133310, 0.170521, 0.957039, 0.946547
14, 0.129730, 0.168028, 0.958180, 0.945369
15, 0.129776, 0.158562, 0.958474, 0.948314
16, 0.127504, 0.161911, 0.958879, 0.944927
17, 0.125677, 0.163940, 0.958879, 0.945958
18, 0.122428, 0.161512, 0.960389, 0.943896
19, 0.121091, 0.159488, 0.959837, 0.946105
20, 0.119519, 0.166992, 0.961346, 0.945074
21, 0.090666, 0.104796, 0.970402, 0.965837
22, 0.037895, 0.092437, 0.989361, 0.969224
23, 0.020370, 0.084925, 0.995546, 0.971580
24, 0.013328, 0.080592, 0.997791, 0.973789
25, 0.007573, 0.077259, 0.999227, 0.974231
26, 0.005456, 0.076586, 0.999742, 0.975114
27, 0.004332, 0.075597, 0.999669, 0.975261
28, 0.003814, 0.074003, 0.999742, 0.977028
29, 0.002714, 0.072575, 0.999816, 0.977617
30, 0.002865, 0.072417, 0.999669, 0.978943
31, 0.002230, 0.069862, 0.999779, 0.979532
32, 0.001502, 0.070362, 0.999963, 0.978795
33, 0.001295, 0.070766, 1.000000, 0.978648
34, 0.001510, 0.071181, 0.999779, 0.979384
35, 0.001030, 0.071074, 0.999926, 0.979973
36, 0.001226, 0.071521, 0.999779, 0.979237
37, 0.000956, 0.071231, 0.999890, 0.979679
38, 0.000821, 0.069810, 0.999926, 0.979826
39, 0.000686, 0.069031, 0.999890, 0.979826
40, 0.000552, 0.069131, 0.999963, 0.979826
41, 0.000656, 0.069675, 0.999926, 0.979826
42, 0.000502, 0.069154, 0.999963, 0.980710
43, 0.000536, 0.067541, 0.999926, 0.981888
44, 0.000488, 0.067251, 1.000000, 0.981888
45, 0.000379, 0.071081, 0.999963, 0.980857
46, 0.000542, 0.071316, 0.999926, 0.981888
47, 0.000448, 0.069821, 0.999963, 0.982035
48, 0.000392, 0.070507, 0.999926, 0.981004
49, 0.000256, 0.069467, 1.000000, 0.981446
50, 0.000317, 0.068670, 0.999963, 0.982182
51, 0.002095, 0.070042, 0.999374, 0.981888
52, 0.001101, 0.068982, 0.999742, 0.982330
53, 0.000365, 0.063621, 0.999963, 0.983655
54, 0.000597, 0.063066, 0.999890, 0.983802
55, 0.000439, 0.064998, 0.999963, 0.982182
56, 0.000230, 0.063266, 1.000000, 0.982624
57, 0.000223, 0.064557, 1.000000, 0.982624
58, 0.000601, 0.065216, 0.999853, 0.982330
59, 0.000685, 0.067627, 0.999853, 0.982330
60, 0.000342, 0.068667, 0.999926, 0.983066
61, 0.000256, 0.068225, 0.999963, 0.983508
62, 0.000509, 0.067736, 0.999890, 0.983213
63, 0.000323, 0.068204, 0.999963, 0.982919
64, 0.000355, 0.066736, 0.999963, 0.983655
65, 0.000657, 0.067225, 0.999853, 0.983213
66, 0.000194, 0.066660, 0.999963, 0.983213
67, 0.000380, 0.067104, 0.999926, 0.982624
68, 0.000154, 0.065121, 1.000000, 0.983508
69, 0.000116, 0.065168, 1.000000, 0.983360
70, 0.000139, 0.063370, 1.000000, 0.983802
71, 0.000193, 0.066314, 1.000000, 0.982330
72, 0.000413, 0.066191, 0.999963, 0.982624
73, 0.000197, 0.061343, 0.999963, 0.983655
74, 0.000306, 0.063406, 0.999963, 0.982330
75, 0.000143, 0.063682, 1.000000, 0.982771
76, 0.000231, 0.063235, 1.000000, 0.982919
77, 0.000158, 0.059188, 1.000000, 0.983508
78, 0.000419, 0.061295, 0.999963, 0.984097
79, 0.000174, 0.065438, 0.999963, 0.982330
80, 0.000210, 0.060728, 1.000000, 0.983655
81, 0.000121, 0.057784, 1.000000, 0.983802
82, 0.000128, 0.058642, 1.000000, 0.983655
83, 0.000177, 0.059386, 1.000000, 0.984391
84, 0.000496, 0.058508, 0.999926, 0.982919
85, 0.000170, 0.057577, 0.999963, 0.983655
86, 0.000654, 0.059402, 0.999816, 0.983066
87, 0.000389, 0.058792, 0.999890, 0.984097
88, 0.000545, 0.060337, 0.999816, 0.984244
89, 0.000500, 0.058186, 0.999926, 0.984833
90, 0.001069, 0.059643, 0.999632, 0.985127
91, 0.000148, 0.058062, 1.000000, 0.984538
92, 0.000161, 0.057184, 1.000000, 0.984980
93, 0.000273, 0.053908, 0.999963, 0.985569
94, 0.000135, 0.055159, 1.000000, 0.985716
95, 0.000108, 0.056456, 1.000000, 0.985275
96, 0.000243, 0.057673, 0.999926, 0.985569
97, 0.000106, 0.056090, 1.000000, 0.985716
98, 0.000084, 0.054560, 1.000000, 0.985569
